Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
32580,32450,32580,32480,30,0.09%,2014/11/08,1393/08/17
32490,32460,32510,32510,10,0.03%,2014/11/06,1393/08/15
32560,32500,32580,32500,39,0.12%,2014/11/05,1393/08/14
32523,32305,32883,32539,9,0.03%,2014/11/01,1393/08/10
32480,32480,32530,32520,70,0.22%,2014/10/30,1393/08/08
32380,32360,32450,32450,60,0.19%,2014/10/29,1393/08/07
32420,32340,32430,32390,60,0.19%,2014/10/28,1393/08/06
32370,32280,32450,32450,90,0.28%,2014/10/27,1393/08/05
32220,32210,32370,32360,190,0.59%,2014/10/26,1393/08/04
32110,32080,32190,32170,100,0.31%,2014/10/25,1393/08/03
32290,32260,32310,32270,10,0.03%,2014/10/23,1393/08/01
32250,32220,32280,32280,60,0.19%,2014/10/22,1393/07/30
32290,32220,32320,32220,60,0.19%,2014/10/21,1393/07/29
32240,32200,32300,32280,90,0.28%,2014/10/20,1393/07/28
32360,32180,32360,32190,150,0.47%,2014/10/19,1393/07/27
32370,32310,32390,32340,120,0.37%,2014/10/18,1393/07/26
32470,32460,32510,32460,40,0.12%,2014/10/16,1393/07/24
32450,32440,32560,32500,60,0.18%,2014/10/15,1393/07/23
32550,32440,32570,32440,80,0.25%,2014/10/14,1393/07/22
32510,32480,32530,32520,20,0.06%,2014/10/12,1393/07/20
32450,32390,32510,32500,-,-,2014/10/11,1393/07/19
32500,32470,32510,32500,20,0.06%,2014/10/09,1393/07/17
32410,32410,32510,32480,110,0.34%,2014/10/08,1393/07/16
32420,32350,32420,32370,20,0.06%,2014/10/07,1393/07/15
32300,32300,32450,32390,80,0.25%,2014/10/06,1393/07/14
32400,32290,32400,32310,120,0.37%,2014/10/04,1393/07/12
32390,32380,32440,32430,30,0.09%,2014/10/02,1393/07/10
32460,32310,32460,32400,30,0.09%,2014/10/01,1393/07/09
32470,32420,32570,32430,20,0.06%,2014/09/30,1393/07/08
32320,32230,32460,32410,60,0.19%,2014/09/29,1393/07/07
32610,32350,32610,32350,290,0.9%,2014/09/28,1393/07/06
32550,32460,32680,32640,640,2%,2014/09/27,1393/07/05
32010,31940,32010,32000,-,-,2014/09/25,1393/07/03
31910,31910,32020,32000,60,0.19%,2014/09/24,1393/07/02
31910,31900,32060,31940,60,0.19%,2014/09/23,1393/07/01
31770,31760,31930,31880,170,0.54%,2014/09/22,1393/06/31
31680,31650,31740,31710,40,0.13%,2014/09/21,1393/06/30
31790,31670,31830,31670,320,1.01%,2014/09/20,1393/06/29
32000,31970,32010,31990,20,0.06%,2014/09/18,1393/06/27
32130,31960,32160,32010,130,0.41%,2014/09/17,1393/06/26
31930,31910,32180,32140,220,0.69%,2014/09/16,1393/06/25
32000,31870,32090,31920,60,0.19%,2014/09/15,1393/06/24
31920,31850,32010,31980,70,0.22%,2014/09/14,1393/06/23
31750,31730,31930,31910,50,0.16%,2014/09/13,1393/06/22
31830,31830,31870,31860,20,0.06%,2014/09/11,1393/06/20
31800,31780,31860,31840,50,0.16%,2014/09/10,1393/06/19
31760,31680,31860,31790,40,0.13%,2014/09/09,1393/06/18
32020,31740,32030,31750,230,0.72%,2014/09/08,1393/06/17
31690,31670,31980,31980,300,0.95%,2014/09/07,1393/06/16
31550,31510,31690,31680,60,0.19%,2014/09/06,1393/06/15
31830,31720,31850,31740,70,0.22%,2014/09/04,1393/06/13
31690,31650,31850,31810,90,0.28%,2014/09/03,1393/06/12
31750,31670,31860,31720,10,0.03%,2014/09/02,1393/06/11
31470,31470,31750,31730,250,0.79%,2014/09/01,1393/06/10
31470,31390,31500,31480,20,0.06%,2014/08/31,1393/06/09
31580,31480,31590,31500,80,0.25%,2014/08/30,1393/06/08
31310,31300,31420,31420,120,0.38%,2014/08/28,1393/06/06
31310,31250,31330,31300,-,-,2014/08/27,1393/06/05
31280,31220,31300,31300,30,0.1%,2014/08/26,1393/06/04
31310,31210,31330,31270,60,0.19%,2014/08/25,1393/06/03
31150,31120,31350,31330,170,0.55%,2014/08/24,1393/06/02
31190,31130,31330,31160,250,0.81%,2014/08/23,1393/06/01
30910,30890,30920,30910,10,0.03%,2014/08/21,1393/05/30
30940,30900,30960,30920,10,0.03%,2014/08/20,1393/05/29
31040,30910,31090,30930,120,0.39%,2014/08/19,1393/05/28
31060,31030,31150,31050,20,0.06%,2014/08/18,1393/05/27
31010,30960,31070,31070,50,0.16%,2014/08/17,1393/05/26
31080,31000,31090,31020,170,0.55%,2014/08/16,1393/05/25
31170,31170,31190,31190,10,0.03%,2014/08/14,1393/05/23
31230,31170,31230,31180,90,0.29%,2014/08/13,1393/05/22
31210,31200,31270,31270,80,0.26%,2014/08/12,1393/05/21
31260,31190,31280,31190,60,0.19%,2014/08/11,1393/05/20
